教育网课,#genre#
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
小学一年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-394344518832095319_sd.flv
小学二年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114150264733783_sd.flv
小学三年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114161536925783_sd.flv
小学四年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114171468513367_sd.flv
小学五年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114184289976407_sd.flv
小学六年级(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114187240144983_sd.flv
初一(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-394344593730306135_sd.flv
初二(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114222741782615_sd.flv
初三(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-394344604800909399_sd.flv
高一(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-106114239584534615_sd.flv
高二(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-394344622782414935_sd.flv
高三(作业帮),http://pull-flv-l6-act.pstatp.com/activity/stream-394344630637035607_sd.flv
小学一年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv1.m3u8
小学二年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv2.m3u8
小学三年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv3.m3u8
小学四年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv4.m3u8
小学五年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv5.m3u8
小学六年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv6.m3u8
初中一年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv7.m3u8
初中二年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv8.m3u8
初中三年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv9.m3u8
高中一年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv10.m3u8
高中二年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv11.m3u8
高中三年级(腾),https://live-edu.wasu.tv/live/QiEFuDao-lv12.m3u8
小学一年级(新),http://aldirect.hls.huya.com/huyalive/1099531752589-1099531752589-86435413673115648-2199063628634-10057-A-0-1.m3u8
小学二年级(新),http://aldirect.hls.huya.com/huyalive/1099531752590-1099531752590-86435417968082944-2199063628636-10057-A-0-1.m3u8
小学三年级(新),http://aldirect.hls.huya.com/huyalive/1099531752591-1099531752591-86435422263050240-2199063628638-10057-A-0-1.m3u8
小学四年级(新),http://aldirect.hls.huya.com/huyalive/1099531752592-1099531752592-86435426558017536-2199063628640-10057-A-0-1.m3u8
小学五年级(新),http://aldirect.hls.huya.com/huyalive/1099531752593-1099531752593-86435430852984832-2199063628642-10057-A-0-1.m3u8
小学六年级(新),http://aldirect.hls.huya.com/huyalive/1099531752594-1099531752594-86435435147952128-2199063628644-10057-A-0-1.m3u8
初中一年级(新),http://aldirect.hls.huya.com/huyalive/1099531752595-1099531752595-86435439442919424-2199063628646-10057-A-0-1.m3u8
初中二年级(新),http://aldirect.hls.huya.com/huyalive/1099531752596-1099531752596-86435443737886720-2199063628648-10057-A-0-1.m3u8
初中三年级(新),http://aldirect.hls.huya.com/huyalive/1099531752597-1099531752597-86435448032854016-2199063628650-10057-A-0-1.m3u8
高中一年级(新),http://aldirect.hls.huya.com/huyalive/1099531752598-1099531752598-86435452327821312-2199063628652-10057-A-0-1.m3u8
高中二年级(新),http://aldirect.hls.huya.com/huyalive/1099531752599-1099531752599-86435456622788608-2199063628654-10057-A-0-1.m3u8
高中三年级(新),http://aldirect.hls.huya.com/huyalive/1099531752600-1099531752600-86435460917755904-2199063628656-10057-A-0-1.m3u8
小学一年级(思),http://aldirect.hls.huya.com/huyalive/1099531752601-1099531752601-86435465212723200-2199063628658-10057-A-0-1.m3u8
小学二年级(思),http://aldirect.hls.huya.com/huyalive/1099531752602-1099531752602-86435469507690496-2199063628660-10057-A-0-1.m3u8
小学三年级(思),http://aldirect.hls.huya.com/huyalive/1099531752603-1099531752603-86435473802657792-2199063628662-10057-A-0-1.m3u8
小学四年级(思),http://aldirect.hls.huya.com/huyalive/1099531752604-1099531752604-86435478097625088-2199063628664-10057-A-0-1.m3u8
小学五年级(思),http://aldirect.hls.huya.com/huyalive/1099531752605-1099531752605-86435482392592384-2199063628666-10057-A-0-1.m3u8
小学六年级(思),http://aldirect.hls.huya.com/huyalive/1099531752606-1099531752606-86435486687559680-2199063628668-10057-A-0-1.m3u8
